OSCNETPLUS Image Quality Evaluation
Date: 2025-03-14 12:24:17
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1640.png                        46.55      0.9928
1641.png                        42.21      0.9921
1642.png                        34.33      0.9795
1643.png                        37.66      0.9852
1644.png                        41.78      0.9931
1645.png                        43.51      0.9947
1646.png                        42.24      0.9940
1647.png                        37.09      0.9855
1648.png                        36.23      0.9790
1649.png                        40.80      0.9923
165.png                         42.09      0.9916
1650.png                        40.76      0.9906
1651.png                        42.13      0.9921
1652.png                        33.15      0.9781
1653.png                        38.15      0.9857
1654.png                        44.16      0.9933
1655.png                        45.10      0.9947
1656.png                        44.86      0.9938
1657.png                        37.90      0.9846
1658.png                        37.27      0.9785
1659.png                        42.51      0.9912
166.png                         43.01      0.9922
1660.png                        43.02      0.9918
1661.png                        37.75      0.9900
1662.png                        31.83      0.9761
1663.png                        36.17      0.9843
1664.png                        43.49      0.9931
1665.png                        46.32      0.9933
1666.png                        47.13      0.9943
1667.png                        37.10      0.9843
1668.png                        34.78      0.9726
1669.png                        40.47      0.9898
167.png                         39.71      0.9839
1670.png                        41.75      0.9907
1671.png                        42.71      0.9922
1672.png                        35.07      0.9801
1673.png                        37.78      0.9849
1674.png                        44.93      0.9933
1675.png                        46.45      0.9945
1676.png                        46.11      0.9945
1677.png                        41.84      0.9877
1678.png                        37.66      0.9789
1679.png                        41.42      0.9905
168.png                         36.33      0.9731
1680.png                        43.14      0.9909
1681.png                        40.12      0.9902
1682.png                        32.61      0.9771
1683.png                        36.52      0.9840
1684.png                        43.17      0.9921
1685.png                        47.11      0.9941
1686.png                        43.93      0.9938
1687.png                        40.72      0.9863
1688.png                        35.34      0.9773
1689.png                        40.08      0.9897
169.png                         40.05      0.9890
1690.png                        42.60      0.9900
1691.png                        37.57      0.9894
1692.png                        32.60      0.9762
1693.png                        36.45      0.9850
1694.png                        42.56      0.9925
1695.png                        42.22      0.9941
1696.png                        44.21      0.9949
1697.png                        38.09      0.9857
1698.png                        35.48      0.9751
1699.png                        40.29      0.9908
17.png                          36.32      0.9818
170.png                         39.64      0.9891
1700.png                        39.89      0.9911
1701.png                        37.25      0.9900
1702.png                        35.27      0.9754
1703.png                        35.69      0.9846
1704.png                        39.78      0.9933
1705.png                        38.38      0.9941
1706.png                        40.68      0.9933
1707.png                        35.21      0.9854
1708.png                        36.21      0.9808
1709.png                        40.38      0.9929
171.png                         27.52      0.9806
1710.png                        44.50      0.9934
1711.png                        40.75      0.9916
1712.png                        35.05      0.9787
1713.png                        38.19      0.9860
