OSCNet Image Quality Evaluation
Date: 2025-03-12 17:22:40
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1389.png                        42.52      0.9899
139.png                         44.67      0.9909
1390.png                        43.98      0.9907
1391.png                        42.84      0.9903
1392.png                        34.58      0.9765
1393.png                        37.53      0.9838
1394.png                        45.90      0.9931
1395.png                        43.73      0.9925
1396.png                        47.54      0.9939
1397.png                        36.67      0.9846
1398.png                        34.25      0.9730
1399.png                        41.85      0.9902
14.png                          40.76      0.9901
140.png                         43.57      0.9899
1400.png                        42.67      0.9914
1401.png                        45.69      0.9921
1402.png                        36.37      0.9820
1403.png                        37.34      0.9843
1404.png                        47.77      0.9937
1405.png                        43.90      0.9928
1406.png                        47.98      0.9946
1407.png                        41.37      0.9883
1408.png                        39.49      0.9811
1409.png                        45.34      0.9920
141.png                         41.88      0.9910
1410.png                        45.65      0.9925
1411.png                        45.91      0.9927
1412.png                        36.83      0.9824
1413.png                        38.54      0.9840
1414.png                        47.67      0.9933
1415.png                        44.22      0.9936
1416.png                        47.77      0.9944
1417.png                        39.20      0.9887
1418.png                        38.02      0.9809
1419.png                        42.65      0.9909
142.png                         36.43      0.9812
1420.png                        44.44      0.9906
1421.png                        41.85      0.9894
1422.png                        34.70      0.9757
1423.png                        38.26      0.9837
1424.png                        45.71      0.9926
1425.png                        43.87      0.9924
1426.png                        47.36      0.9940
1427.png                        37.53      0.9844
1428.png                        34.76      0.9708
1429.png                        40.78      0.9908
143.png                         36.42      0.9858
1430.png                        45.34      0.9923
1431.png                        40.34      0.9897
1432.png                        34.31      0.9783
1433.png                        35.81      0.9845
1434.png                        45.40      0.9925
1435.png                        42.90      0.9914
1436.png                        47.25      0.9935
1437.png                        37.47      0.9843
1438.png                        36.30      0.9755
1439.png                        44.78      0.9907
144.png                         44.74      0.9925
1440.png                        45.02      0.9912
1441.png                        40.91      0.9911
1442.png                        33.67      0.9794
1443.png                        36.39      0.9840
1444.png                        44.94      0.9927
1445.png                        43.65      0.9935
1446.png                        46.80      0.9940
1447.png                        40.69      0.9875
1448.png                        36.03      0.9767
1449.png                        42.32      0.9905
145.png                         44.35      0.9926
1450.png                        42.92      0.9913
1451.png                        42.77      0.9906
1452.png                        33.74      0.9800
1453.png                        33.08      0.9819
1454.png                        46.27      0.9931
1455.png                        42.03      0.9926
1456.png                        47.83      0.9948
1457.png                        36.40      0.9862
1458.png                        34.25      0.9747
1459.png                        41.40      0.9898
146.png                         46.15      0.9929
1460.png                        44.55      0.9916
1461.png                        43.23      0.9914
1462.png                        36.33      0.9815
1463.png                        38.31      0.9864
1464.png                        46.39      0.9936
1465.png                        45.93      0.9932
1466.png                        48.98      0.9950
1467.png                        42.41      0.9877
1468.png                        40.44      0.9805
1469.png                        46.45      0.9923
147.png                         38.48      0.9856
1470.png                        46.41      0.9923
1471.png                        42.14      0.9918
1472.png                        35.04      0.9802
1473.png                        36.25      0.9838
1474.png                        46.31      0.9939
1475.png                        45.53      0.9938
1476.png                        47.75      0.9948
1477.png                        42.91      0.9888
1478.png                        40.39      0.9800
1479.png                        44.75      0.9919
148.png                         34.92      0.9769
1480.png                        44.22      0.9924
1481.png                        43.30      0.9912
1482.png                        34.75      0.9787
1483.png                        34.30      0.9819
1484.png                        46.74      0.9929
1485.png                        41.63      0.9923
1486.png                        47.43      0.9941
1487.png                        40.92      0.9882
1488.png                        35.07      0.9774
1489.png                        41.19      0.9910
149.png                         43.18      0.9903
1490.png                        43.08      0.9911
1491.png                        40.73      0.9898
1492.png                        34.88      0.9787
1493.png                        35.19      0.9824
1494.png                        45.39      0.9920
1495.png                        40.54      0.9918
1496.png                        47.97      0.9940
1497.png                        40.35      0.9856
1498.png                        36.92      0.9767
1499.png                        42.51      0.9912
15.png                          39.75      0.9906
150.png                         43.79      0.9910
1500.png                        44.16      0.9915
1501.png                        40.57      0.9902
1502.png                        33.00      0.9793
1503.png                        31.60      0.9817
1504.png                        42.83      0.9926
1505.png                        42.04      0.9920
1506.png                        46.56      0.9939
1507.png                        37.04      0.9854
1508.png                        34.65      0.9761
1509.png                        41.37      0.9907
151.png                         41.41      0.9895
1510.png                        42.10      0.9908
1511.png                        44.18      0.9927
1512.png                        36.40      0.9811
1513.png                        35.30      0.9855
1514.png                        46.12      0.9935
1515.png                        43.26      0.9926
1516.png                        47.80      0.9948
1517.png                        37.79      0.9871
1518.png                        35.00      0.9769
1519.png                        42.01      0.9907
152.png                         37.32      0.9797
1520.png                        43.88      0.9909
1521.png                        42.25      0.9904
1522.png                        34.30      0.9787
1523.png                        34.37      0.9829
1524.png                        46.43      0.9923
1525.png                        42.31      0.9917
1526.png                        47.83      0.9936
1527.png                        42.05      0.9873
1528.png                        36.93      0.9775
1529.png                        44.07      0.9909
153.png                         36.79      0.9840
1530.png                        43.75      0.9903
1531.png                        39.70      0.9892
1532.png                        34.69      0.9795
1533.png                        34.43      0.9824
1534.png                        45.42      0.9926
1535.png                        42.92      0.9926
1536.png                        46.01      0.9941
1537.png                        41.63      0.9871
1538.png                        37.38      0.9789
1539.png                        39.78      0.9899
154.png                         46.98      0.9922
1540.png                        43.84      0.9915
1541.png                        40.26      0.9910
1542.png                        36.01      0.9800
1543.png                        37.48      0.9853
1544.png                        42.05      0.9934
1545.png                        44.98      0.9938
1546.png                        45.48      0.9950
1547.png                        38.71      0.9871
1548.png                        36.04      0.9810
1549.png                        44.59      0.9932
155.png                         43.40      0.9910
1550.png                        44.01      0.9926
1551.png                        39.10      0.9897
1552.png                        34.08      0.9781
1553.png                        31.70      0.9801
1554.png                        45.81      0.9932
1555.png                        35.26      0.9907
1556.png                        47.47      0.9948
1557.png                        39.51      0.9851
1558.png                        38.56      0.9778
1559.png                        43.91      0.9918
156.png                         47.02      0.9930
1560.png                        42.12      0.9903
1561.png                        40.03      0.9891
1562.png                        29.29      0.9716
1563.png                        31.15      0.9778
1564.png                        41.54      0.9901
1565.png                        39.00      0.9905
1566.png                        42.83      0.9928
1567.png                        37.42      0.9835
1568.png                        33.42      0.9704
1569.png                        41.10      0.9899
157.png                         42.61      0.9860
1570.png                        40.67      0.9903
1571.png                        33.17      0.9894
1572.png                        29.46      0.9765
1573.png                        28.91      0.9770
1574.png                        43.01      0.9933
1575.png                        41.41      0.9932
